Scientific_Name,Duration,Active_Growth_Period,Foliage_Color,pH_Min,pH_Max,Precip_Min,Precip_Max,Shade_Tolerance,Temp_Min_F
Ranunculus micranthus,Perennial,,,,,,,,
Ranunculus parviflorus,Annual,,,,,,,,
Ranunculus pensylvanicus,"Annual, Perennial",Spring and Summer,Green,5,7.5,10,50,Tolerant,-28
Ranunculus pusillus,Annual,,,,,,,,
Ranunculus pusillus var. pusillus,Annual,,,,,,,,
Ranunculus recurvatus,Perennial,,,,,,,,
Ranunculus recurvatus var. recurvatus,Perennial,,,,,,,,
Ranunculus repens,Perennial,Spring and Summer,Green,5.6,7.2,19,69,Tolerant,-28
Ranunculus sardous,"Annual, Biennial, Perennial",,,,,,,,
Ranunculus sceleratus,"Annual, Perennial",Spring and Summer,Green,4.8,8.4,8,55,Tolerant,52
Ranunculus sceleratus var. sceleratus,"Annual, Perennial",,,,,,,,
Ranunculus trichophyllus,Perennial,,,,,,,,
Ranunculus trichophyllus var. trichophyllus,Perennial,,,,,,,,
Raphanus,,,,,,,,,
Raphanus raphanistrum,"Annual, Biennial",,,,,,,,
Raphanus sativus,"Annual, Biennial",,,,,,,,
Reseda,,,,,,,,,
Reseda lutea,Biennial,,,,,,,,
Reseda luteola,Biennial,,,,,,,,
Rhamnus,,,,,,,,,
Rhamnus alnifolia,Perennial,Spring,Green,4,8,10,50,Tolerant,-33
Rhamnus cathartica,Perennial,,,,,,,,
Rhamnus davurica,Perennial,,,,,,,,
Rhamnus davurica ssp. davurica,Perennial,,,,,,,,
Rhamnus lanceolata,Perennial,,,,,,,,
Rhamnus lanceolata ssp. lanceolata,Perennial,,,,,,,,
Rhexia,,,,,,,,,
Rhexia aristosa,Perennial,,,,,,,,
Rhexia mariana,Perennial,,,,,,,,
Rhexia mariana var. mariana,Perennial,,,,,,,,
Rhexia mariana var. ventricosa,Perennial,,,,,,,,
Rhexia nashii,Perennial,,,,,,,,
Rhexia petiolata,Perennial,,,,,,,,
Rhexia virginica,Perennial,,,,,,,,
Rhododendron,,,,,,,,,
Rhododendron arborescens,Perennial,Spring and Summer,Dark Green,4.2,5.7,36,55,Tolerant,-13
Rhododendron atlanticum,Perennial,Spring and Summer,Dark Green,4.2,5.7,36,55,Tolerant,7
Rhododendron calendulaceum,Perennial,,,,,,,,
Rhododendron canescens,Perennial,Spring and Summer,Green,4.3,5.8,32,50,Tolerant,-13
Rhododendron maximum,Perennial,Spring and Summer,Dark Green,4,5.5,36,60,Tolerant,-13
Rhododendron periclymenoides,Perennial,Spring and Summer,Green,4.3,5.5,36,50,Tolerant,-18
Rhododendron prinophyllum,Perennial,,,,,,,,
Rhododendron viscosum,Perennial,Spring,Green,4,7,35,55,Tolerant,-18
Rhus,,,,,,,,,
Rhus aromatica,Perennial,,,,,,,,
Rhus aromatica var. aromatica,Perennial,,,,,,,,
Rhus copallinum,Perennial,Spring and Summer,Green,5.3,7.5,28,60,Intolerant,-28
Rhus copallinum var. copallinum,Perennial,,,,,,,,
Rhus glabra,Perennial,Spring and Summer,Green,5.3,7.5,30,60,Intolerant,-33
Rhus trilobata,Perennial,Spring,Green,6.5,8.2,8,20,Intermediate,-53
Rhus trilobata var. trilobata,Perennial,,,,,,,,
Rhus typhina,Perennial,,,,,,,,
Rhynchosia,,,,,,,,,
Rhynchosia tomentosa,Perennial,,,,,,,,
Rhynchosia tomentosa var. tomentosa,Perennial,,,,,,,,
Rhynchospora,,,,,,,,,
Rhynchospora alba,Perennial,,,,,,,,
Rhynchospora capitellata,Perennial,,,,,,,,
Rhynchospora cephalantha,Perennial,,,,,,,,
Rhynchospora chalarocephala,Perennial,,,,,,,,
Rhynchospora corniculata,Perennial,Summer,Yellow-Green,5.1,7.4,30,50,Intolerant,-13
Rhynchospora fusca,Perennial,,,,,,,,
Rhynchospora globularis,"Annual, Perennial",,,,,,,,
Rhynchospora globularis var. globularis,Perennial,,,,,,,,
Rhynchospora glomerata,Perennial,,,,,,,,
Rhynchospora gracilenta,Perennial,,,,,,,,
Rhynchospora harperi,"Annual, Perennial",,,,,,,,
Rhynchospora inexpansa,Perennial,,,,,,,,
Rhynchospora inundata,Perennial,,,,,,,,
Rhynchospora macrostachya,Perennial,,,,,,,,
Rhynchospora microcephala,Perennial,,,,,,,,
Rhynchospora nitens,"Annual, Perennial",,,,,,,,
Rhynchospora pallida,Perennial,,,,,,,,
Rhynchospora rariflora,Perennial,,,,,,,,
Rhynchospora recognita,Perennial,,,,,,,,
Rhynchospora scirpoides,Annual,,,,,,,,
Rhynchospora torreyana,Perennial,,,,,,,,
Ribes,,,,,,,,,
Ribes americanum,Perennial,,Green,5,7.8,12,60,,-46
Ribes aureum,Perennial,Spring and Summer,Green,6,8,12,20,Intermediate,-38
Ribes aureum var. villosum,Perennial,,Green,4.7,7.8,12,60,,-46
Ribes cynosbati,Perennial,,,,,,,,
Ribes glandulosum,Perennial,,,,,,,,
Ribes hirtellum,Perennial,,,,,,,,
Ribes missouriense,Perennial,,,,,,,,
Ribes nigrum,Perennial,,,,,,,,
Ribes rotundifolium,Perennial,,,,,,,,
Ribes rubrum,Perennial,,,,,,,,
Ribes uva-crispa,Perennial,,,,,,,,
Ribes uva-crispa var. sativum,Perennial,,,,,,,,
Richardia,,,,,,,,,
Richardia scabra,Annual,,,,,,,,
Ricinus,,,,,,,,,
Ricinus communis,"Annual, Perennial",,,,,,,,
Robinia,,,,,,,,,
Robinia hispida,Perennial,,,,,,,,
Robinia hispida var. fertilis,Perennial,,,,,,,,
Robinia hispida var. hispida,Perennial,,,,,,,,
Robinia hispida var. nana,Perennial,,,,,,,,
Robinia pseudoacacia,Perennial,Spring,Green,4.6,8.2,16,65,Intolerant,-37
Robinia viscosa,Perennial,,,,,,,,
Robinia viscosa var. viscosa,Perennial,,,,,,,,
Rorippa,,,,,,,,,
Rorippa palustris,"Annual, Biennial, Perennial",,,,,,,,
Rorippa palustris ssp. fernaldiana,"Annual, Biennial, Perennial",,,,,,,,
Rorippa palustris ssp. hispida,"Annual, Biennial, Perennial",,,,,,,,
Rorippa palustris ssp. palustris,"Annual, Biennial, Perennial",,,,,,,,
Rorippa sessiliflora,Annual,"Spring, Summer, Fall",Green,5.5,7.5,30,60,Intermediate,52
Rorippa sinuata,Perennial,Spring and Summer,Green,5,8.5,12,38,Intolerant,-38
Rorippa sylvestris,Perennial,Spring and Summer,Green,5,8,14,55,Intermediate,-28
Rosa,,,,,,,,,
Rosa blanda,Perennial,,,,,,,,
Rosa blanda var. blanda,Perennial,,,,,,,,
Rosa bracteata,Perennial,,,,,,,,
Rosa canina,Perennial,,,,,,,,
Rosa carolina,Perennial,Spring and Summer,Green,4,7,25,60,Intermediate,-43
Rosa carolina var. carolina,Perennial,,,,,,,,
Rosa micrantha,Perennial,,,,,,,,
Rosa multiflora,Perennial,,,,,,,,
Rosa palustris,Perennial,Summer,Green,4,7,35,50,Tolerant,-33
Rosa rubiginosa,Perennial,,,,,,,,
Rosa rugosa,Perennial,Spring and Summer,Green,5.5,7.5,34,60,Intolerant,-33
Rosa setigera,Perennial,Spring,Dark Green,5,7.5,20,60,Intolerant,-13
Rosa setigera var. tomentosa,Perennial,,,,,,,,
Rosa virginiana,Perennial,Spring and Summer,Green,5,7,35,55,Intermediate,-18
Rosa virginiana var. virginiana,Perennial,,,,,,,,
Rostraria,,,,,,,,,
Rostraria cristata,Annual,,,,,,,,
Rotala,,,,,,,,,
Rotala ramosior,Annual,,,,,,,,
Rubus,,,,,,,,,
Rubus aboriginum,Perennial,,,,,,,,
Rubus allegheniensis,Perennial,Spring and Summer,Green,4.6,7.5,30,48,Tolerant,-28
Rubus allegheniensis var. allegheniensis,Perennial,,,,,,,,
Rubus allegheniensis var. gravesii,Perennial,,,,,,,,
Rubus alumnus,Perennial,Spring and Summer,Green,4.8,7,32,50,Intermediate,-28
Rubus andrewsianus,Perennial,,,,,,,,
Rubus argutus,Perennial,Spring,Green,4.5,7,40,50,Intolerant,-13
Rubus baileyanus,Perennial,Spring and Summer,Green,5,7,32,50,Intermediate,-28
Rubus bifrons,Perennial,,,,,,,,
Rubus canadensis,Perennial,,,,,,,,
Rubus centralis,Perennial,,,,,,,,
Rubus cuneifolius,Perennial,Spring and Summer,Green,5,7,36,50,Intermediate,-13
Rubus depavitus,Perennial,,,,,,,,
Rubus fecundus,Perennial,,,,,,,,
Rubus flagellaris,Perennial,,,,,,,,
Rubus flavinanus,Perennial,,,,,,,,
Rubus frondosus,Perennial,,,,,,,,
Rubus grimesii,Perennial,,,,,,,,
Rubus heterophyllus,Perennial,,,,,,,,
Rubus hispidus,Perennial,Spring,Gray-Green,4.5,7,30,70,Intolerant,-38
Rubus idaeus,Perennial,Spring,Green,5,7.5,10,104,Tolerant,-62
Rubus idaeus ssp. strigosus,Perennial,,Green,5,7.5,10,104,Intolerant,-62
Rubus invisus,Perennial,,,,,,,,
Rubus laciniatus,Perennial,Spring and Summer,Green,5.2,7.7,32,45,Tolerant,-33
Rubus laudatus,Perennial,,,,,,,,
Rubus leviculus,Perennial,,,,,,,,
Rubus longii,Perennial,,,,,,,,
Rubus michiganensis,Perennial,,,,,,,,
Rubus missouricus,Perennial,,,,,,,,
Rubus montensis,Perennial,,,,,,,,
Rubus multifer,Perennial,,,,,,,,
Rubus notatus,Perennial,,,,,,,,
Rubus obvius,Perennial,,,,,,,,
Rubus occidentalis,Perennial,Spring and Summer,Green,5.2,7.5,24,45,Intermediate,-28
Rubus odoratus,Perennial,Spring and Summer,Green,4.5,6.5,35,55,Intermediate,-38
Rubus odoratus var. odoratus,Perennial,,,,,,,,
Rubus originalis,Perennial,,,,,,,,
Rubus ostryifolius,Perennial,,,,,,,,
Rubus paganus,Perennial,,,,,,,,
Rubus pascuus,Perennial,,,,,,,,
Rubus pensilvanicus,Perennial,,,,,,,,
Rubus permixtus,Perennial,,,,,,,,
Rubus pervarius,Perennial,,,,,,,,
Rubus philadelphicus,Perennial,,,,,,,,
Rubus phoenicolasius,Perennial,,,,,,,,
Rubus plicatifolius,Perennial,,,,,,,,
Rubus probabilis,Perennial,,,,,,,,
Rubus provincialis,Perennial,,,,,,,,
Rubus racemiger,Perennial,,,,,,,,
Rubus recurvans,Perennial,,,,,,,,
Rubus roribaccus,Perennial,,,,,,,,
Rubus rosa,Perennial,,,,,,,,
Rubus rosarius,Perennial,,,,,,,,
Rubus scambens,Perennial,,,,,,,,
Rubus setosus,Perennial,,,,,,,,
Rubus steelei,Perennial,,,,,,,,
Rubus trivialis,Perennial,,,,,,,,
Rudbeckia,,,,,,,,,
Rudbeckia fulgida,Perennial,,,,,,,,
Rudbeckia fulgida var. fulgida,Perennial,,,,,,,,
Rudbeckia hirta,"Annual, Biennial, Perennial","Fall, Winter and Spring",Green,6,7,28,65,Intolerant,-23
Rudbeckia hirta var. hirta,"Annual, Biennial, Perennial",,,,,,,,
Rudbeckia hirta var. pulcherrima,"Annual, Biennial, Perennial",,,,,,,,
Rudbeckia laciniata,Perennial,Spring,Gray-Green,4.5,7,15,55,Tolerant,-38
Rudbeckia laciniata var. bipinnata,Perennial,,,,,,,,
Rudbeckia laciniata var. digitata,Perennial,,,,,,,,
Rudbeckia laciniata var. laciniata,Perennial,,,,,,,,
Rudbeckia triloba,Perennial,,,,,,,,
Rudbeckia triloba var. triloba,Perennial,,,,,,,,
Ruellia,,,,,,,,,
Ruellia caroliniensis,Perennial,,,,,,,,
Ruellia caroliniensis ssp. caroliniensis,Perennial,,,,,,,,
Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Perennial,,,,,,,,
Ruellia humilis,Perennial,Summer,Green,4.5,7.5,20,55,Tolerant,-33
Ruellia purshiana,Perennial,,,,,,,,
Ruellia strepens,Perennial,Spring,Green,6,8.5,40,60,Tolerant,-13
Rumex,,,,,,,,,
Rumex acetosella,Perennial,,,,,,,,
Rumex altissimus,Perennial,,,,,,,,
Rumex crispus,Perennial,,,,,,,,
Rumex crispus ssp. crispus,Perennial,,,,,,,,
Rumex hastatulus,Perennial,,,,,,,,
Rumex maritimus,"Annual, Biennial",Spring and Summer,Green,5,8.2,14,55,Intermediate,-38
Rumex obtusifolius,Perennial,,,,,,,,
Rumex patientia,Perennial,,,,,,,,
Rumex pulcher,Perennial,,,,,,,,
Rumex sanguineus,Perennial,,,,,,,,
Rumex verticillatus,Perennial,,,,,,,,
Ruppia,,,,,,,,,
Ruppia maritima,Perennial,Spring and Summer,Green,5.4,8.5,,,Intolerant,-2
Ruta,,,,,,,,,
Ruta graveolens,Perennial,,,,,,,,
Sabatia,,,,,,,,,
Sabatia angularis,Annual,,,,,,,,
Sabatia campanulata,Perennial,,,,,,,,
Sabatia difformis,Perennial,,,,,,,,
Sabatia dodecandra,Perennial,,,,,,,,
Sabatia dodecandra var. dodecandra,Perennial,,,,,,,,
Sabatia stellaris,Annual,,,,,,,,
Saccharum,,,,,,,,,
Saccharum alopecuroides,Perennial,,,,,,,,
Saccharum baldwinii,Perennial,,,,,,,,
Saccharum brevibarbe,Perennial,Summer,Green,4,7.5,35,50,Intolerant,-8
Saccharum brevibarbe var. brevibarbe,Perennial,,,,,,,,
Saccharum brevibarbe var. contortum,Perennial,,,,,,,,
Saccharum coarctatum,Perennial,,,,,,,,
Saccharum giganteum,Perennial,Summer,Green,3.5,7,35,60,Intolerant,-28
Saccharum ravennae,Perennial,Spring and Summer,Green,4.8,7,28,55,Intolerant,-8
Sacciolepis,,,,,,,,,
Sacciolepis striata,Perennial,Summer,Green,5,7.3,22,79,Intolerant,-18
Sagina,,,,,,,,,
Sagina apetala,Annual,,,,,,,,
Sagina decumbens,Annual,,,,,,,,
Sagina decumbens ssp. decumbens,Annual,,,,,,,,
Sagina procumbens,Perennial,,,,,,,,
Sagittaria,,,,,,,,,
Sagittaria australis,Perennial,,,,,,,,
Sagittaria brevirostra,Perennial,,,,,,,,
Sagittaria calycina,Perennial,,,,,,,,
Sagittaria calycina var. calycina,Perennial,,,,,,,,
Sagittaria calycina var. spongiosa,Perennial,,,,,,,,
Sagittaria engelmanniana,Perennial,,,,,,,,
Sagittaria filiformis,Perennial,,,,,,,,
Sagittaria graminea,Perennial,,,,,,,,
Sagittaria graminea var. graminea,Perennial,,,,,,,,
Sagittaria lancifolia,Perennial,,,,,,,,
Sagittaria lancifolia ssp. media,Perennial,,,,,,,,
Sagittaria latifolia,Perennial,Spring,Green,4.7,8.9,14,50,Intolerant,-33
Sagittaria rigida,Perennial,,,,,,,,
Sagittaria subulata,Perennial,,,,,,,,
Sagittaria teres,Perennial,,,,,,,,
Salicornia,,,,,,,,,
Salicornia bigelovii,Annual,,,,,,,,
Salicornia depressa,Perennial,,,,,,,,
Salix,,,,,,,,,
Salix alba,Perennial,Spring and Summer,Green,4.5,7.8,20,90,Intolerant,-33
Salix babylonica,Perennial,,,,,,,,
Salix bebbiana,Perennial,,,,,,,,
Salix ?bebbii,Perennial,,,,,,,,
Salix caprea,Perennial,,,,,,,,
Salix caroliniana,Perennial,Spring,Green,4.5,8.8,30,60,Intermediate,2
Salix cinerea,Perennial,,,,,,,,
Salix cordata,Perennial,,,,,,,,
Salix discolor,Perennial,Spring,Green,4,7,20,50,Tolerant,-33
Salix elaeagnos,Perennial,,,,,,,,
Salix eriocephala,Perennial,Spring,Green,4,7,20,50,Tolerant,-38
Salix fragilis,Perennial,,,,,,,,
Salix humilis,Perennial,Spring and Summer,Dark Green,5.9,7,20,60,Intermediate,-43
Salix humilis var. humilis,Perennial,,,,,,,,
Salix humilis var. tristis,Perennial,,,,,,,,
Salix interior,Perennial,Spring,Green,4,7.8,10,70,Intolerant,-62
Salix lucida,Perennial,Spring and Summer,Yellow-Green,5.8,7.2,30,60,Intermediate,-43
Salix lucida ssp. lucida,Perennial,,,,,,,,
Salix nigra,Perennial,Spring and Summer,Green,4.8,8,18,80,Intolerant,-58
Salix ?pendulina,Perennial,,,,,,,,
Salix pentandra,Perennial,Spring and Summer,Dark Green,6.5,7.5,15,60,Intermediate,-38
Salix purpurea,Perennial,,,,,,,,
Salix ?rubens,Perennial,,,,,,,,
Salix ?sepulcralis,Perennial,Spring and Summer,Green,4.5,7.5,30,90,Intolerant,-23
Salix sericea,Perennial,Spring and Summer,Green,5.2,7,32,55,Intermediate,-28
Salsola,,,,,,,,,
Salsola kali,Annual,,,,,,,,
Salsola kali ssp. kali,Annual,,,,,,,,
Salsola kali ssp. pontica,Annual,,,,,,,,
Salsola tragus,Annual,,,,,,,,
Salvia,,,,,,,,,
Salvia lyrata,Perennial,,,,,,,,
Salvia pratensis,Perennial,,,,,,,,
Salvia reflexa,Annual,,,,,,,,
Salvia urticifolia,Perennial,,,,,,,,
Salvia verbenaca,Perennial,,,,,,,,
Salvia verticillata,Perennial,,,,,,,,
Salvinia,,,,,,,,,
Salvinia minima,"Annual, Perennial",,,,,,,,
Sambucus,,,,,,,,,
Sambucus nigra,Perennial,,,,,,,,
Sambucus nigra ssp. canadensis,Perennial,Spring and Summer,Green,5,8.9,34,60,Intolerant,-28
Sambucus racemosa,Perennial,,,,,,,,
Sambucus racemosa var. racemosa,Perennial,Spring and Summer,Green,5.2,7.2,24,60,Intermediate,-33
Samolus,,,,,,,,,
Samolus valerandi,Perennial,,,,,,,,
Samolus valerandi ssp. parviflorus,Perennial,,,,,,,,
Sanguinaria,,,,,,,,,
Sanguinaria canadensis,Perennial,,,,,,,,
Sanguisorba,,,,,,,,,
Sanguisorba annua,"Annual, Perennial",,,,,,,,
Sanguisorba canadensis,Perennial,,,,,,,,
Sanguisorba minor,Perennial,,,,,,,,
Sanguisorba minor ssp. balearica,Perennial,,,,,,,,
Sanicula,,,,,,,,,
Sanicula canadensis,Biennial,,,,,,,,
Sanicula canadensis var. canadensis,Biennial,,,,,,,,
Sanicula marilandica,Perennial,,,,,,,,
Sanicula odorata,Perennial,,,,,,,,
Sanicula trifoliata,Perennial,,,,,,,,
Sanvitalia,,,,,,,,,
Sanvitalia procumbens,Annual,,,,,,,,
Saponaria,,,,,,,,,
Saponaria officinalis,Perennial,Spring and Summer,Green,5,7,32,45,Intermediate,-18
Sarracenia,,,,,,,,,
Sarracenia purpurea,Perennial,,,,,,,,
Sarracenia purpurea ssp. gibbosa,Perennial,,,,,,,,
Sassafras,,,,,,,,,
Sassafras albidum,Perennial,Spring and Summer,Green,4.5,7.3,30,80,Intolerant,-27
Saururus,,,,,,,,,
Saururus cernuus,Perennial,,,,,,,,
Saxifraga,,,,,,,,,
Saxifraga michauxii,Perennial,,,,,,,,
Saxifraga micranthidifolia,Perennial,,,,,,,,
Saxifraga pensylvanica,Perennial,,,,,,,,
Saxifraga virginiensis,Perennial,,,,,,,,
Saxifraga virginiensis var. virginiensis,Perennial,,,,,,,,
Scandix,,,,,,,,,
Scandix pecten-veneris,Annual,,,,,,,,
Schedonorus,,,,,,,,,
Schedonorus arundinaceus,Perennial,,,,,,,,
Schedonorus pratensis,Perennial,,,,,,,,
Schizachne,,,,,,,,,
Schizachne purpurascens,Perennial,,,,,,,,
Schizachyrium,,,,,,,,,
Schizachyrium littorale,Perennial,,,,,,,,
Schizachyrium scoparium,Perennial,Summer and Fall,Gray-Green,5,8.4,12,45,Intolerant,-38
Schizachyrium scoparium var. scoparium,Perennial,,,,,,,,
Schkuhria,,,,,,,,,
Schkuhria pinnata,Annual,,,,,,,,
Schkuhria pinnata var. guatemalensis,Annual,,,,,,,,
Schoenoplectiella,,,,,,,,,
Schoenoplectiella mucronata,Perennial,,,,,,,,
Schoenoplectiella purshiana,Annual,,,,,,,,
Schoenoplectiella smithii,Annual,,,,,,,,
Schoenoplectus,,,,,,,,,
Schoenoplectus americanus,Perennial,,,,,,,,
Schoenoplectus etuberculatus,Perennial,,,,,,,,
Schoenoplectus fluviatilis,Perennial,Summer,Green,4,7.5,18,60,Intolerant,-38
Schoenoplectus novae-angliae,Perennial,,,,,,,,
Schoenoplectus pungens,Perennial,,,,,,,,
Schoenoplectus pungens var. pungens,Perennial,Summer,Dark Green,3.7,7.5,12,60,Intolerant,-38
Schoenoplectus robustus,Perennial,Summer,Green,6.4,8.4,16,35,Intolerant,7
Schoenoplectus subterminalis,Perennial,,,,,,,,
Schoenoplectus tabernaemontani,Perennial,"Spring, Summer, Fall",Green,5.4,7.5,18,55,Intolerant,-38
Schoenoplectus torreyi,Perennial,,,,,,,,
Schwalbea,,,,,,,,,
Schwalbea americana,Perennial,,,,,,,,
Scirpus,,,,,,,,,
Scirpus ancistrochaetus,Perennial,,,,,,,,
Scirpus atrovirens,Perennial,Spring,Dark Green,4,8,16,60,Intolerant,-53
Scirpus cyperinus,Perennial,Spring,Green,4.8,7.2,40,60,Intermediate,-33
Scirpus expansus,Perennial,,,,,,,,
Scirpus georgianus,Perennial,Spring and Summer,Dark Green,4.5,7,35,55,Intermediate,-38
Scirpus hattorianus,Perennial,,,,,,,,
Scirpus pendulus,Perennial,Spring and Summer,Green,4.9,7,30,55,Intolerant,-38
Scirpus polyphyllus,Perennial,,,,,,,,
Scleranthus,,,,,,,,,
Scleranthus annuus,Annual,,,,,,,,
Scleria,,,,,,,,,
Scleria minor,Perennial,,,,,,,,
Scleria muehlenbergii,"Annual, Perennial",,,,,,,,
Scleria oligantha,Perennial,,,,,,,,
Scleria pauciflora,Perennial,,,,,,,,
Scleria pauciflora var. caroliniana,Perennial,,,,,,,,
Scleria pauciflora var. pauciflora,Perennial,,,,,,,,
Scleria reticularis,Annual,,,,,,,,
Scleria triglomerata,Perennial,,,,,,,,
Scleria verticillata,Annual,,,,,,,,
Sclerochloa,,,,,,,,,
Sclerochloa dura,Annual,,,,,,,,
Sclerolepis,,,,,,,,,
Sclerolepis uniflora,Perennial,,,,,,,,
Scrophularia,,,,,,,,,
Scrophularia lanceolata,Perennial,,,,,,,,
Scrophularia marilandica,Perennial,,,,,,,,
Scutellaria,,,,,,,,,
Scutellaria elliptica,Perennial,,,,,,,,
Scutellaria elliptica var. elliptica,Perennial,,,,,,,,
Scutellaria galericulata,Perennial,,,,,,,,
Scutellaria incana,Perennial,,,,,,,,
Scutellaria incana var. incana,Perennial,,,,,,,,
Scutellaria integrifolia,Perennial,,,,,,,,
Scutellaria lateriflora,Perennial,,,,,,,,
Scutellaria lateriflora var. lateriflora,Perennial,,,,,,,,
Scutellaria nervosa,Perennial,,,,,,,,
Scutellaria ovata,Perennial,,,,,,,,
Scutellaria ovata ssp. ovata,Perennial,,,,,,,,
Scutellaria ovata ssp. rugosa,Perennial,,,,,,,,
Scutellaria ovata ssp. virginiana,Perennial,,,,,,,,
Scutellaria parvula,Perennial,,,,,,,,
Scutellaria parvula var. missouriensis,Perennial,,,,,,,,
Scutellaria parvula var. parvula,Perennial,,,,,,,,
Scutellaria saxatilis,Perennial,,,,,,,,
Scutellaria serrata,Perennial,,,,,,,,
Secale,,,,,,,,,
Secale cereale,Annual,"Spring, Summer, Fall",Green,4.5,8.2,8,50,Intolerant,-33
Securigera,,,,,,,,,
Securigera cretica,Annual,,,,,,,,
Securigera varia,Perennial,,,,,,,,
Sedum,,,,,,,,,
Sedum acre,Perennial,,,,,,,,
Sedum glaucophyllum,Perennial,,,,,,,,
Sedum sarmentosum,Perennial,,,,,,,,
Sedum ternatum,Perennial,,,,,,,,
Selaginella,,,,,,,,,
Selaginella apoda,Perennial,,,,,,,,
Selaginella rupestris,Perennial,,,,,,,,
Senecio,,,,,,,,,
Senecio cineraria,Perennial,,,,,,,,
Senecio vulgaris,"Annual, Biennial",Spring and Summer,Green,5,8.5,16,55,Intolerant,47
Senna,,,,,,,,,
Senna bauhinioides,Perennial,,,,,,,,
Senna hebecarpa,Perennial,,,,,,,,
Senna italica,Perennial,,,,,,,,
Senna marilandica,Perennial,Spring and Summer,Green,4,7,20,60,Intermediate,-18
Senna obtusifolia,"Annual, Perennial",,,,,,,,
Senna occidentalis,"Annual, Perennial",,,,,,,,
Sericocarpus,,,,,,,,,
Sericocarpus asteroides,Perennial,,,,,,,,
Sericocarpus linifolius,Perennial,,,,,,,,
Sesbania,,,,,,,,,
Sesbania herbacea,"Annual, Perennial",,,,,,,,
Seseli,,,,,,,,,
Seseli libanotis,Biennial,,,,,,,,
Sesuvium,,,,,,,,,
Sesuvium maritimum,Annual,,,,,,,,
Setaria,,,,,,,,,
Setaria faberi,Annual,,,,,,,,
Setaria grisebachii,Annual,,,,,,,,
Setaria italica,Annual,Spring and Summer,Green,5.3,6.9,25,60,Intolerant,52
Setaria magna,Annual,,,,,,,,
Setaria parviflora,Perennial,,,,,,,,
Setaria pumila,Annual,Spring and Summer,Green,5,7,25,60,Intolerant,52
Setaria pumila ssp. pumila,Annual,,,,,,,,
Setaria verticillata,Annual,,,,,,,,
Setaria verticilliformis,Annual,,,,,,,,
Setaria viridis,Annual,,,,,,,,
Setaria viridis var. viridis,Annual,,,,,,,,
Sherardia,,,,,,,,,
Sherardia arvensis,Annual,,,,,,,,
Sibara,,,,,,,,,
Sibara virginica,"Annual, Biennial",,,,,,,,
Sibbaldiopsis,,,,,,,,,
Sibbaldiopsis tridentata,Perennial,,,,,,,,
Sicyos,,,,,,,,,
Sicyos angulatus,Annual,,,,,,,,
Sida,,,,,,,,,
Sida cordata,Perennial,,,,,,,,
Sida hermaphrodita,Perennial,,,,,,,,
Sida rhombifolia,"Annual, Perennial",,,,,,,,
Sida spinosa,"Annual, Perennial",,,,,,,,
Sideroxylon,,,,,,,,,
Sideroxylon lycioides,Perennial,"Spring, Summer, Fall",Green,4,7,33,51,Tolerant,-27
Silene,,,,,,,,,
Silene antirrhina,Annual,,,,,,,,
Silene armeria,Annual,,,,,,,,
Silene caroliniana,Perennial,,,,,,,,
Silene caroliniana ssp. pensylvanica,Perennial,,,,,,,,
Silene conica,Annual,,,,,,,,
Silene conoidea,Annual,,,,,,,,
Silene csereii,"Biennial, Perennial",,,,,,,,
Silene dichotoma,Annual,,,,,,,,
Silene dioica,Perennial,,,,,,,,
Silene drummondii,Perennial,,,,,,,,
Silene drummondii var. drummondii,Perennial,,,,,,,,
Silene latifolia,"Biennial, Perennial",,,,,,,,
Silene latifolia ssp. alba,"Biennial, Perennial",,,,,,,,
Silene nivea,Perennial,,,,,,,,
Silene noctiflora,Annual,,,,,,,,
Silene stellata,Perennial,,,,,,,,
Silene virginica,Perennial,,,,,,,,
Silene virginica var. virginica,Perennial,,,,,,,,
Silene vulgaris,Perennial,,,,,,,,
Silphium,,,,,,,,,
Silphium asteriscus,Perennial,,,,,,,,
Silphium asteriscus var. asteriscus,Perennial,,,,,,,,
Silphium perfoliatum,Perennial,Summer,Green,4.5,7.5,16,51,Intermediate,-49
Silphium perfoliatum var. connatum,Perennial,,,,,,,,
Silphium perfoliatum var. perfoliatum,Perennial,,,,,,,,
Silphium trifoliatum,Perennial,,,,,,,,
Silphium trifoliatum var. trifoliatum,Perennial,,,,,,,,
Silybum,,,,,,,,,
Silybum marianum,"Annual, Biennial",,,,,,,,
Simsia,,,,,,,,,
Simsia lagasceiformis,"Annual, Perennial",,,,,,,,
Sinapis,,,,,,,,,
Sinapis alba,Annual,,,,,,,,
Sinapis arvensis,Annual,,,,,,,,
Sinapis arvensis ssp. arvensis,Annual,,,,,,,,
Sisymbrium,,,,,,,,,
Sisymbrium altissimum,"Annual, Biennial",,,,,,,,
Sisymbrium loeselii,"Annual, Biennial",,,,,,,,
Sisymbrium officinale,Annual,,,,,,,,
Sisyrinchium,,,,,,,,,
Sisyrinchium angustifolium,Perennial,Spring and Summer,Green,5,7,32,60,Intermediate,-3
Sisyrinchium atlanticum,Perennial,,,,,,,,
Sisyrinchium fuscatum,Perennial,,,,,,,,
Sisyrinchium mucronatum,Perennial,,,,,,,,
Sium,,,,,,,,,
Sium suave,Perennial,,,,,,,,
Smallanthus,,,,,,,,,
